,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
78,"39.99986984782023,-75.12090193585182",116489,,False,947.425251281261,0.0,4960.0,3,2.575350462275408e-05
79,"39.97554842673176,-75.2538773740182",68562,,False,0.0,0.01255945707019228,13824.0,4,5.834135526968292e-05
80,"39.97790135994348,-75.25345296388329",96745,3.9285714285714284,False,0.0,0.010958950189027098,16224.0,9,9.302806346581219e-05
81,"39.97968538481622,-75.25105998043384",79600,,False,0.0,0.008523125329103341,14400.0,3,3.768844221105528e-05
82,"39.989884430498265,-75.23546066569537",121250,,False,0.0,0.006689044774639552,19728.0,2,1.6494845360824743e-05
83,"39.98729259261911,-75.23489428167818",110558,,False,0.0,0.005194338543383521,12736.0,4,3.618010456050218e-05
84,"39.98683628497315,-75.24155145872335",155659,,False,0.0,0.002944596685494617,14784.0,3,1.9272897808671518e-05
85,"39.985208815660016,-75.23656060144991",61116,4.5,False,0.0,0.0030128602247600743,13408.0,0,0.0
86,"39.98831974048717,-75.23843328313933",68083,,False,0.0,0.0047022318933379985,14864.5,1,1.4687954408589515e-05
87,"39.98120203653291,-75.22684271848836",151397,2.75,False,2129.517778088914,0.0030755837070067064,4064.0,2,1.3210301393026282e-05
88,"39.990525613228286,-75.2297368329583",166494,2.6666666666666665,False,0.0,0.010465267879484949,30992.0,0,0.0
89,"39.98901831633502,-75.22949895351336",65217,4.0,False,0.0,0.010206896573068598,11840.0,1,1.5333425333885337e-05
90,"39.985640240074666,-75.22817394962169",176579,3.0,False,650.869941642587,0.003969238584637987,10560.0,1,5.66318758176227e-06
91,"39.99312333397973,-75.22851626572114",181452,3.8333333333333335,False,1362.720973353051,0.012067158652061587,41760.0,0,0.0
92,"40.00129981428223,-75.22256310630094",168771,3.05,False,0.0,0.021701796941739983,17696.0,3,1.7775565707378638e-05
93,"39.99470892938781,-75.22265604136369",708025,3.8333333333333335,False,0.0,0.011882314944532521,26144.0,2,2.824759012746725e-06
94,"40.00163516071545,-75.2063760313243",207320,3.8333333333333335,False,0.0,0.019858683792837825,24048.0,8,3.858769052672197e-05
95,"40.00056655572264,-75.21543731566773",641970,2.8333333333333335,False,0.0,0.015878835934627716,18240.0,4,6.230820754863934e-06
96,"40.0381928355495,-75.11705467805837",429747,2.75,False,251.911826720598,0.0013592399406127434,15296.0,0,0.0
97,"40.03850534784535,-75.12208630496849",78687,3.5,False,0.0,0.004437893303990277,13104.0,1,1.2708579562062347e-05
98,"40.04149842370778,-75.12116266596747",61024,,False,0.0,0.006794261609608396,12544.0,4,6.554798112218144e-05
99,"40.0340687488074,-75.1260984729309",133326,,False,0.0,0.005931294261002161,13632.0,2,1.5000825045377495e-05
100,"40.03445862908071,-75.12947322196302",100550,3.4375,False,0.0,0.006770874381143795,14368.0,0,0.0
101,"40.03856481116821,-75.12857293697125",128783,4.0,False,249.00651003993,0.006777910419376872,12576.0,1,7.765000038825e-06
102,"40.04296869056167,-75.12790586503252",97326,3.25,False,556.238283688981,0.008464346514594679,9888.0,2,2.0549493454986334e-05
103,"40.03736415984328,-75.12550600509277",108668,2.75,False,1145.1842478494289,0.006094608344304024,12416.0,2,1.840468215113925e-05
104,"40.04276073278639,-75.1245422011885",77719,,False,0.0,0.009074009242370382,11888.0,1,1.2866866531993463e-05
105,"40.04049068245742,-75.12470658964297",113428,3.5,False,1139.5876573368478,0.007519093967099289,11354.814999999999,5,4.408082660366047e-05
106,"40.04429149634745,-75.12420027883825",78219,4.5,False,0.0,0.010332142153196474,11776.0,4,5.1138470192664186e-05
107,"40.03493215454354,-75.1328688790029",142848,3.25,False,378.461342196631,0.002451229014164497,13008.0,1,7.000448028673835e-06
108,"40.03883750451911,-75.13355199524757",79495,,False,1518.489647361052,0.002365344015008703,11888.0,2,2.5158815019812566e-05
109,"40.03920758311538,-75.13125671749434",119433,2.3,False,0.0,0.004312055153349188,12384.0,0,0.0
110,"40.04356383467514,-75.13202291648317",265049,2.5,False,2705.665645339102,0.003484486505785179,17584.0,2,7.545774554893624e-06
111,"40.04233686457358,-75.13678947455554",281669,3.0,False,0.0,0.0013357846257917559,15680.0,2,7.10053289499377e-06
112,"40.04027305566104,-75.14190413009159",75516,,False,0.0,0.0025665421959537153,12512.0,0,0.0
113,"40.04265091496004,-75.1413739207487",146703,3.2142857142857144,False,0.0,0.004047008535366502,13504.0,5,3.4082465934575295e-05
114,"40.04562556152013,-75.14054134532942",159857,3.25,False,0.0,0.004266315936069336,13280.0,0,0.0
115,"40.05253096066696,-75.15657444811957",89887,4.0,False,0.0,0.002041671763339252,10955.0,2,2.2250158532379544e-05
116,"40.04958797703223,-75.14524340139198",144147,3.75,False,0.0,0.0,13872.0,2,1.3874725107008818e-05
117,"40.0496913413153,-75.14907348611813",81101,5.0,False,0.0,0.0003636677819827662,10608.0,3,3.6990912565813e-05
118,"39.95309110686392,-75.24160344728202",88957,,False,0.0,0.004993174851482252,8448.0,3,3.372415886327102e-05
119,"39.99675964323501,-75.12766174940319",115979,4.0,False,551.2087757148,0.003518385400927893,3008.0,2,1.7244501159692704e-05
120,"39.9940386163287,-75.12785682345908",77315,,False,0.0,0.00661328568232865,3680.0,0,0.0
121,"39.94666725253891,-75.14686103713373",208809,3.980769230769231,False,571.2774368114381,0.011738525999477546,33024.0,1,4.7890656054097286e-06
122,"39.95348103396768,-75.14739688058293",459227,3.9379310344827587,False,0.0,0.006918504599554861,27184.0,6,1.3065433870395252e-05
123,"39.94467940775429,-75.13895011920675",1004313,3.448051948051948,False,1520.447355969772,0.0051574243838388495,53088.0,16,1.5931288353332077e-05
124,"39.95388447857355,-75.18774788513208",386518,3.404580152671756,False,0.0,0.005554068761946701,1404000.0,0,0.0
125,"39.95114397962227,-75.18984050714688",457980,3.5098039215686274,False,0.0,0.002704195824755239,1550016.0,0,0.0
126,"39.94376245809345,-75.15192235327127",107124,3.857142857142857,False,447.304545505036,0.00835580083726461,86852.0,0,0.0
127,"39.93992114082469,-75.14611071045044",88817,3.8767123287671232,False,4608.616142218596,0.006337611253393628,51731.36,1,1.125910580181722e-05
128,"39.94735478961989,-75.15132554867101",122275,3.7738095238095237,False,449.9554202701635,0.011849707049598817,34016.0,1,8.178286648947046e-06
129,"39.955407967948354,-75.15697926920099",382478,3.7203125,False,0.0,0.009649130164110814,33200.0,2,5.22905892626504e-06
130,"39.95962017688108,-75.14345922217746",592926,3.683333333333333,False,1700.5342937132652,0.0005321327313222124,33856.0,6,1.0119306625110047e-05
131,"39.95316389098176,-75.16812812485517",261668,3.4450549450549453,False,0.0,0.010053364375771767,46384.0,2,7.643273155296025e-06
132,"40.01754169774228,-75.14390312002514",401968,,False,2837.845725229952,0.0,,0,0.0
133,"39.99531253521564,-75.10615792499453",113976,3.625,False,1247.581103198667,0.0043058562581280895,7968.0,1,8.773776935495191e-06
134,"39.98937912018621,-75.11106519433514",181010,3.625,False,3959.776598169648,0.002544307011146216,6048.0,10,5.52455665432849e-05
135,"39.99706672672857,-75.063581689886",912360,3.3636363636363638,False,2896.211541895696,0.0,11360.0,0,0.0
136,"40.01311484848662,-75.06620844252053",214489,3.5,False,4769.083341707816,0.008903005859982351,11024.0,2,9.324487502855624e-06
137,"40.01534480359917,-75.05862560952433",233406,3.1666666666666665,False,4229.777783561758,0.0008004544809703818,12448.0,12,5.14125600884296e-05
138,"40.01065105155392,-75.07472832826292",179283,2.75,False,3055.6019902210933,0.011521477359109316,6432.0,1,5.577773687410407e-06
139,"40.00515466408366,-75.10848517058653",540777,2.5,False,6162.083304871804,0.0012545246409746314,10191.5,2,3.6983821427316622e-06
140,"40.000177981621086,-75.10929073628422",172884,4.75,False,3981.655315047973,0.0,6848.0,10,5.784225260868559e-05
141,"40.00586149487339,-75.09920592347486",242538,3.1666666666666665,False,2590.1260945522913,0.0034618819631899683,10567.0,1,4.123065251630673e-06
142,"40.01470833313723,-75.10442806047816",399181,3.75,False,7554.095831718345,0.0013096472843410836,12640.0,6,1.5030775512862586e-05
143,"40.01159352740024,-75.09578246006649",249220,4.0,False,1025.917058716626,0.0,11520.0,6,2.4075114356793196e-05
144,"40.02313302200494,-75.08891472121245",176558,,False,0.0,0.0017684699294867607,16704.0,3,1.699158350230519e-05
145,"40.00969835802822,-75.13747104552593",95334,2.8333333333333335,False,586.419084680992,0.007613917781273793,3584.0,5,5.24471856840162e-05
146,"40.020310025742994,-75.12592099758758",141844,4.0,False,210.946100222373,0.0014764253758595264,7472.0,6,4.229999154000169e-05
147,"40.02368507199763,-75.12399973433487",216884,3.85,False,4526.691246955473,0.0012093985006726654,9568.0,0,0.0
148,"40.02197009262708,-75.13318429993842",173289,3.5833333333333335,False,3161.154445943805,0.0077007255971333404,8880.0,5,2.885353369227129e-05
149,"39.96176449641059,-75.1773505859958",347551,3.9285714285714284,False,9000.505927358541,0.008983828245920348,,0,0.0
150,"39.96244693784672,-75.1712020507635",167263,3.519230769230769,False,0.0,0.0053709340953168715,19232.0,1,5.978608538648715e-06
151,"39.96328187397267,-75.15014518786626",70148,2.0,False,0.0,0.0020061801148689605,6896.0,2,2.8511147858812794e-05
152,"39.966607873927394,-75.15507024230992",143126,3.5,False,0.0,0.0023638067403324416,11584.0,0,0.0
153,"39.96840318965656,-75.16235148575814",184553,3.903225806451613,False,0.0,0.0014325593754650763,13696.0,0,0.0
154,"39.96623123661893,-75.1671270978326",58938,4.5,False,0.0,0.0013482884017280772,35648.0,2,3.393396450507313e-05
155,"39.96643666050549,-75.17712273792831",60559,3.357142857142857,False,0.0,0.008950108979209207,24224.0,0,0.0
156,"39.96613019540245,-75.1705401311688",76028,3.8125,False,0.0,0.0024256506139033874,27680.0,0,0.0
157,"39.96942194338743,-75.17033761804073",50179,3.95,False,0.0,0.0033033701604306335,21920.0,1,1.9928655413619244e-05
158,"39.97053026152442,-75.17184992884033",48359,,False,0.0,0.004534146542490723,27248.0,0,0.0
159,"39.97205619352584,-75.18301739189239",90347,3.75,False,0.0,0.004886068697452124,29216.0,0,0.0
160,"39.971516148394976,-75.17967108912087",59642,3.5833333333333335,False,0.0,0.00456286407827846,24480.0,0,0.0
161,"39.97121669092007,-75.17728209359895",48928,4.333333333333333,False,0.0,0.004653736471329222,22608.0,0,0.0
162,"39.97097770943601,-75.17541351044305",35815,4.5,False,0.0,0.005509695990141344,31808.0,0,0.0
163,"39.97647744282606,-75.18336390346646",59705,5.0,False,0.0,0.0033391938071840486,4549.0,2,3.349803199062055e-05
164,"39.97425126970021,-75.18355075136506",65007,4.065217391304348,False,1123.889153981416,0.003887735899313973,20994.0,4,6.153183503315028e-05
165,"39.97901859430044,-75.18279615122542",73120,,False,0.0,0.003313022165046199,4384.0,4,5.4704595185995626e-05
166,"39.97812628967968,-75.17666533419944",151595,4.5,True,450.329138182977,0.0,3360.0,0,0.0
167,"39.97328937841129,-75.17204503891473",288072,3.1666666666666665,True,854.242847735759,0.002940567379156846,11253.63,1,3.4713543836263158e-06
168,"39.97796864778029,-75.17280227738601",65785,,True,0.0,0.0022988651170397154,,0,0.0
169,"39.97491211586247,-75.16355072502216",93527,,False,0.0,0.005113232912559587,4672.0,0,0.0
170,"39.967930016234064,-75.14548492025071",86565,4.35,False,3928.022430500739,0.002988595402273494,19024.0,4,4.6208051753017963e-05
171,"40.05051664280468,-75.15181745683635",90363,2.0,False,0.0,0.004000935535729193,9088.0,5,5.533238161636953e-05
172,"40.05195554398864,-75.1542286526481",65973,,False,1289.635874257172,0.004151410834905627,9376.0,2,3.0315432070695588e-05
173,"40.04973010862138,-75.15554043873817",70933,,False,1036.031422916732,0.0014625000762655395,6208.0,0,0.0
174,"40.03843882129411,-75.14735585955127",243924,2.875,False,0.0,0.0050902074603679575,10368.0,4,1.6398550368147457e-05
175,"40.047601547170125,-75.15296070758738",86314,,False,1129.561284821324,0.004143699893044818,12048.0,4,4.634242417220845e-05
